[Spectrum]		
IDData	DLAB_2012-07-30_10-33-38_055_676	DLAB_2012-07-30_10-33-42_711_677
216	+NAN	+NAN
217	+NAN	+NAN
218	+NAN	+NAN
219	+NAN	+NAN
220	+NAN	+NAN
221	+NAN	+NAN
222	+NAN	+NAN
223	+NAN	+NAN
224	+NAN	+NAN
225	+NAN	+NAN
226	+NAN	+NAN
227	+NAN	+NAN
228	+NAN	+NAN
229	+NAN	+NAN
230	+NAN	+NAN
231	+NAN	+NAN
232	+NAN	+NAN
233	+NAN	+NAN
234	+NAN	+NAN
235	+NAN	+NAN
236	+NAN	+NAN
237	+NAN	+NAN
238	+NAN	+NAN
239	+NAN	+NAN
240	+NAN	+NAN
241	+NAN	+NAN
242	+NAN	+NAN
243	+NAN	+NAN
244	+NAN	+NAN
245	+NAN	+NAN
246	+NAN	+NAN
247	+NAN	+NAN
248	+NAN	+NAN
249	+NAN	+NAN
250	+NAN	+NAN
251	+NAN	+NAN
252	+NAN	+NAN
253	+NAN	+NAN
254	+NAN	+NAN
255	+NAN	+NAN
[END] of [Data]		
[END] of [Spectrum]		
